fkh,P32
nuf,Rab11
stwl,W
stwl,grim
stwl,rpr
stwl,skl
stwl,pum
stwl,nos
stwl,p53
RecQ5,mei-41
RecQ5,lok
dlp,arm
dlp,wg
dlp,wg
dlp,dally
dlp,dally
dlp,Notum
dlp,Sulf1
mop,ex
mop,ex
mop,Rab4
mop,yki
mop,sty
mop,Cbl
mop,mys
bmm,Lsd-2
gnu,png
gnu,CycB
gnu,plu
Tom,alpha4GT1
Tom,Su(H)
Brd,N
Brd,neur
Brd,Dl
Brd,H
Zip71B,ZnT35C
Zip71B,ZnT35C
Zip71B,ZnT41F
Zip71B,Zip42C.2
Zip71B,Zip48C
Zip71B,Zip48C
Zip71B,ZnT63C
Zip71B,ZnT63C
Zip71B,foi
Zip71B,foi
Zip71B,ZnT77C
Zip71B,ZnT77C
Zip71B,ZnT86D
Zip71B,Zip88E
Zip71B,Zip88E
Zip71B,Zip89B
Zip71B,Zip99C
Zip71B,Zip99C
Zip71B,Zip102B
Zip71B,Zip102B
Zip71B,Catsup
Zip71B,Catsup
Zip71B,ZnT33D
Zip71B,ZnT33D
Prosbeta2,HDAC6
Prosbeta2,Atg12
Prosbeta2,Prosbeta6
Prosbeta2,Prosalpha2
Prosbeta2,H
Prosbeta2,Atg6
Sytbeta,Sytalpha
CG6945,step
CG6945,Rho1
Aats-gly,CG15599
Aats-gly,CG8316
CTPsyn,Cbl
Tak1,hep
Tak1,hep
Tak1,hep
Tak1,Jra
Tak1,S6k
Tak1,S6k
Tak1,nmo
Tak1,Timp
Tak1,msn
Tak1,bsk
Tak1,bsk
Tak1,bsk
Tak1,Hsromega
Tak1,Hsromega
Toll-6,Toll-7
Z600,CycE
CG7427,CG13322
CG6498,Gl
CG6498,sw
mrn,p53
mrn,Tfb5
comm,elav
comm,kuz
comm,sli
comm,ena
comm,Sdc
comm,Nedd4
comm,Nedd4
comm,W
comm,lea
comm,Abl
comm,rl
fwe,th
Pka-C3,sws
brm,N
brm,dalao
brm,RpII215
brm,Bap60
brm,yki
brm,vn
brm,tna
brm,rept
brm,asf1
brm,Snr1
brm,Snr1
brm,zen
brm,RpII140
brm,mor
brm,osa
brm,osa
brm,Dl
brm,dom
brm,pont
brm,tara
mib1,N
mib1,alpha4GT1
mib1,neur
mib1,neur
mib1,alpha4GT2
Notum,dlp
Notum,dlp
Notum,mir-315
th,Dredd
th,w
th,pcm
th,Hsp60D
th,dream
th,Buffy
th,AGO1
th,Iap2
th,Iap2
th,Ark
th,Ark
th,Ark
th,Ark
th,Ark
th,Ark
th,Dcr-2
th,Rac1
th,Nc
th,Nc
th,Nc
th,Nc
th,AGO2
th,AGO2
th,eff
th,Ice
th,Ice
th,Hsromega
th,Hsromega
CG16838,enok
Aats-tyr,Mmp2
aos,phl
aos,Fas2
aos,rb
aos,Dsor1
aos,lz
aos,Vav
aos,ebi
aos,ebi
aos,S
aos,S
aos,S
aos,S
aos,ed
aos,salm
aos,Edem2
aos,Hsp60D
aos,ncm
aos,Socs44A
aos,Prp8
aos,Iap2
aos,Dcr-2
aos,Dcr-2
aos,Egfr
aos,Egfr
aos,Egfr
aos,rno
aos,rho
aos,sty
aos,sty
aos,sty
aos,vn
aos,nmo
aos,pix
aos,Pi3K68D
aos,Pi3K68D
aos,th
aos,p
aos,Ras85D
aos,Ras85D
aos,Ras85D
aos,Dl
aos,cd
aos,pnt
aos,ca
aos,sip3
aos,msk
aos,Gug
aos,Gug
aos,rho-5
aos,rl
aos,RpL5
aos,RpL38
mbf1,apt
Smn,w
Smn,ctp
Smn,Moe
Smn,Fim
Smn,CG13775
Smn,CG13775
Smn,CG10561
Smn,Atf6
Smn,Atf6
Smn,shrb
Smn,mlt
Smn,Tango7
Smn,sty
Smn,Sod
Smn,btl
Smn,Eip75B
Smn,stumps
Smn,Dad
Smn,htl
Smn,htl
Smn,14-3-3epsilon
Smn,wit
tra,oc
tra,fru
tra,Doa
Prosbeta6,numb
Prosbeta6,Prosbeta2
Prosbeta6,Prosalpha2
Prosbeta6,H
Baldspot,Marf
Baldspot,CG8184
Baldspot,srl
Lasp,osk
Dab,ena
Dab,trio
Dab,Abl
Nrt,Nrg
Nrt,Abl
TSG101,Stat92E
sina,S
sina,lilli
sina,lilli
sina,ed
sina,pnut
sina,pnut
sina,Sin3A
sina,phyl
sina,Hsp83
sina,Hsp83
sina,fry
sina,fry
sina,Su(Tpl)
sina,pros
sina,eff
sina,gl
sina,gl
sina,msi
sina,msi
sina,bur
sina,ttk
sina,ttk
sina,rl
Ilp8,tor
Ilp8,Lgr3
Ilp8,Lgr3
Ilp8,Lgr3
tap,dsh
Nedd4,Ndfip
CG6259,N
Crtc,Sik2
Crtc,CrebB
Crtc,Akt1
cln3,tsu
cln3,bol
cln3,Sod
cln3,Cat
cln3,RagA-B
cln3,flfl
cln3,foxo
cln3,Keap1
cln3,CG1458
cln3,bsk
Eip75B,S6k
Eip75B,Rheb
mus304,tefu
mus304,DNApol-alpha180
mus304,nbs
W,Hr4
W,phl
W,phl
W,Cdk7
W,Corp
W,Dsor1
W,Dsor1
W,Dsor1
W,lz
W,Imp
W,Imp
W,NetA
W,NetB
W,NetB
W,os
W,CG1503
W,smo
W,morgue
W,morgue
W,CG3251
W,emb
W,Pka-C1
W,Hsp60D
W,Hsp60D
W,dream
W,cos
W,nito
W,pnut
W,Vps25
W,Vps25
W,ptc
W,Uba1
W,Uba1
W,Uba1
W,Buffy
W,Damm
W,Den1
W,DUBAI
W,Iap2
W,Iap2
W,Ark
W,Ark
W,Ark
W,CG5009
W,hpo
W,hpo
W,hpo
W,hpo
W,Egfr
W,Egfr
W,Egfr
W,yki
W,sty
W,Ack
W,Ack
W,Rcc1
W,nmo
W,Cbl
W,TrpA1
W,RasGAP1
W,Nc
W,Nc
W,Nc
W,Nc
W,Nc
W,Nc
W,Nc
W,Nc
W,klu
W,SRm160
W,Vps36
W,D
W,th
W,th
W,th
W,th
W,th
W,th
W,th
W,th
W,th
W,aos
W,grim
W,rpr
W,rpr
W,puc
W,Ras85D
W,Ras85D
W,Ras85D
W,Ras85D
W,Ras85D
W,Bruce
W,CG3313
W,eff
W,CSN5
W,decay
W,gl
W,gl
W,cry
W,Rab11
W,PSR
W,PSR
W,mats
W,pnt
W,Ice
W,Ice
W,Ice
W,Ice
W,Ice
W,Ice
W,pan
W,Ret
W,msn
W,wech
W,bsk
W,sav
W,X11L
W,p53
W,rl
W,rl
W,rl
W,rl
W,rl
W,rl
W,Hsromega
W,bft
W,mir-14
W,mir-278
W,mir-278
W,ban
grim,Hr4
grim,Imp
grim,aph-1
grim,morgue
grim,morgue
grim,Hsp60D
grim,EcR
grim,pnut
grim,Uba1
grim,Buffy
grim,Buffy
grim,DUBAI
grim,Iap2
grim,Ark
grim,hpo
grim,GlcT-1
grim,scny
grim,Nc
grim,Nc
grim,Nc
grim,Nc
grim,klu
grim,th
grim,th
grim,th
grim,th
grim,th
grim,W
grim,W
grim,rpr
grim,Psn
grim,Bruce
grim,Bruce
grim,CG3313
grim,foxo
grim,Akt1
grim,Akt1
grim,Rab11
grim,PSR
grim,PSR
grim,crb
grim,nct
grim,Ice
grim,Spn27A
grim,X11L
grim,Hsromega
grim,Hsromega
grim,mir-14
grim,mir-278
grim,mir-278
rpr,Dredd
rpr,skpA
rpr,Hr4
rpr,phl
rpr,Cdk7
rpr,Corp
rpr,Dsor1
rpr,lz
rpr,Imp
rpr,hep
rpr,CG1503
rpr,ninaA
rpr,S
rpr,lilli
rpr,alpha4GT1
rpr,alpha4GT1
rpr,morgue
rpr,morgue
rpr,CG3251
rpr,Hsp60D
rpr,ik2
rpr,pnut
rpr,Buffy
rpr,Den1
rpr,DUBAI
rpr,Iap2
rpr,Iap2
rpr,Ark
rpr,Ark
rpr,Ark
rpr,GlcT-1
rpr,qkr58E-3
rpr,Dcp-1
rpr,Dcp-1
rpr,Ack
rpr,Akh
rpr,scny
rpr,nmo
rpr,Ilp2
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,Nc
rpr,klu
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,th
rpr,Prosbeta6
rpr,Ilp8
rpr,W
rpr,grim
rpr,Psn
rpr,abs
rpr,puc
rpr,Ras85D
rpr,Ras85D
rpr,Bruce
rpr,Bruce
rpr,Bruce
rpr,Bruce
rpr,Bruce
rpr,Csk
rpr,CG3313
rpr,foxo
rpr,eff
rpr,CSN5
rpr,Det
rpr,Pk92B
rpr,PSR
rpr,Lgr3
rpr,Ice
rpr,Ice
rpr,Ice
rpr,Ice
rpr,Ice
rpr,Idh
rpr,bsk
rpr,rl
rpr,Hsromega
rpr,Hsromega
rpr,mir-14
rpr,mir-14
rpr,mir-278
rpr,ban
skl,grim
not,Prosbeta6
MYPT-75D,sqh
MYPT-75D,sqh
MYPT-75D,zip
MYPT-75D,zip
MYPT-75D,Tm1
MYPT-75D,Tm1
Chmp1,kek1
Chmp1,sty
Chmp1,vn
Chmp1,aos
ftz-f1,EcR
ftz-f1,ftz
ftz-f1,ftz
ftz-f1,bon
ftz-f1,br
ftz-f1,Eip93F
HipHop,ms(3)K81
HipHop,ms(3)K81
Cat,p38b
Cat,PHGPx
Dysb,comt
CG6852,Ctr1A
CG6852,ATP7
CG6852,Ctr1B
Mkp3,Duox
Mkp3,Egfr
Mkp3,PTP-ER
Mkp3,btl
Mkp3,rl
Mkp3,rl
Mkp3,rl
Mkp3,rl
Mkp3,rl
fz2,shf
fz2,wg
fz2,wg
fz2,wg
fz2,wg
fz2,Itgbetanu
fz2,Galphao
fz2,hipk
fz2,hipk
fz2,LanA
fz2,nmo
fz2,dally
fz2,dally
fz2,W
fz2,Wnk
fz2,Wnk
fz2,dco
fz2,fz
fz2,fz
rept,CG8677
nes,wun2
pip,gd
pip,gd
pip,Vml
ash1,Kdm2
ash1,dom
lush,Or67d
asf1,lid
asf1,Sin3A
asf1,brm
asf1,mor
asf1,osa
asf1,tlk
wnd,Dscam1
wnd,bsk
wnd,kay
Gbeta76C,Galphaq
verm,serp
serp,verm
Trpml,crq
Trpml,RagA-B
Trpml,RagA-B
Trpml,Rheb
Kap-alpha1,Cas
Kap-alpha1,Cas
Kap-alpha1,Fs(2)Ket
trc,Rala
trc,Rala
trc,Graf
trc,Cdc42
trc,vimar
trc,Rho1
trc,Rac1
trc,Rac1
trc,fry
trc,Mob2
trc,mats
trc,mats
trc,wts
trc,bsk
Papss,beta3GalTII
Rab8,Hrs
Rab8,tkv
Rab8,POSH
Rab8,Tak1
Rab8,kay
Mi-2,Rcc1
fln,Mhc
sNPF-R,mnb
sNPF-R,CrebB
sNPF-R,Galphas
sNPF-R,Pka-R1
gig,Rbf
gig,bun
gig,hppy
gig,S6k
gig,S6k
gig,path
gig,srl
gig,Madm
gig,Tsc1
gig,Tor
Su(var)3-3,dpp
Su(var)3-3,lid
Su(var)3-3,Su(H)
rdgC,Osi21
rdgC,ninaE
rdgC,ninaE
rdgC,shi
gogo,hts
gogo,hts
gogo,InR
gogo,InR
gogo,Ilp5
CG6597,CG13322
CG6597,CG7427
polo,numb
polo,numb
polo,Sir2
polo,BubR1
polo,mad2
polo,Cdc27
polo,mael
polo,pch2
polo,Map205
polo,mts
polo,gwl
polo,gwl
polo,gwl
polo,tws
alphaSnap,Nsf2
alphaSnap,Nsf2
alphaSnap,Syx1A
alphaSnap,comt
Spn77Ba,Hayan
Spn77Ba,MP1
Spn77Ba,MP1
Spn77Ba,Sp7
Spn77Ba,Spn27A
in,dsh
in,frtz
in,frtz
in,fy
in,Vang
in,stan
in,mwh
in,fz
in,fz
in,pk
in,pk
Ide,foxo
Ide,Pten
Psn,N
Psn,N
Psn,N
Psn,N
Psn,Ubqn
Psn,Ubqn
Psn,Ubqn
Psn,S
Psn,gammaTub23C
Psn,eya
Psn,Su(H)
Psn,dac
Psn,so
Psn,vg
Psn,metl
Psn,R
Psn,th
Psn,opa
Psn,Itp-r83A
Psn,Ras85D
Psn,AP-1mu
Psn,Ipp
Psn,cher
Psn,gl
Psn,Dl
Psn,H
Psn,H
Psn,H
Psn,hh
Psn,nct
Psn,mGluR
Psn,kkv
Psn,Spt5
Psn,dp
knrl,kni
knrl,puc
knrl,kay
kni,neb
kni,Bap170
kni,Egfr
kni,rho
kni,knrl
kni,knrl
kni,eg
kni,hb
kni,ash2
kni,gro
cmpy,Mad
cmpy,gbb
cmpy,wit
Spc105R,sub
Pka-R1,dnc
Pka-R1,Pka-C1
Pka-R1,Pka-C1
Pka-R1,Pka-C1
Pka-R1,Itp-r83A
Pka-R1,capt
fng,N
fng,N
fng,N
fng,N
fng,Bx
fng,CycE
fng,Egfr
fng,hipk
fng,toe
fng,eyg
fng,Dl
fng,Ser
fng,ey
fng,ey
fng,heph
siz,NetB
siz,CadN
siz,blow
siz,fra
siz,sli
siz,robo
siz,Arf79F
park,Pgam5
park,Pgam5
park,CG3016
park,Marf
park,Marf
park,Marf
park,Pink1
park,Pink1
park,Pink1
park,Pink1
park,GIIIspla2
park,hep
park,hep
park,Ucp4A
park,Drp1
park,Drp1
park,Thor
park,Traf4
park,heix
park,ref(2)P
park,Trap1
park,TER94
park,Opa1
park,Opa1
park,clu
park,Sod2
park,Sod2
park,GstS1
park,GstS1
park,Vps35
park,Mul1
park,GstO2
park,GstO2
park,MTF-1
park,Sod
park,Atg1
park,Cat
park,CG8334
park,PEK
park,puc
park,foxo
park,HtrA2
park,Pk92B
park,Pk92B
park,Lrrk
park,ATPsyn-beta
park,AMPKalpha
park,bsk
park,bsk
park,eIF-4E
park,mask
park,mask
park,Parp
Eip78C,th
pzg,N
pzg,CycE
pzg,EcR
pzg,dap
pzg,PCNA
pzg,H
Pc,ph-p
Pc,ph-p
Pc,Caf1-180
Pc,Usp7
Pc,dome
Pc,kis
Pc,ebi
Pc,salm
Pc,esc
Pc,Sir2
Pc,jing
Pc,psq
Pc,psq
Pc,E(Pc)
Pc,E(Pc)
Pc,tou
Pc,Asx
Pc,Asx
Pc,Pcl
Pc,Pcl
Pc,Pcl
Pc,Pcl
Pc,hpo
Pc,Dll
Pc,scf
Pc,Hsp83
Pc,Rpd3
Pc,Rpd3
Pc,E(z)
Pc,tna
Pc,upSET
Pc,btl
Pc,brm
Pc,brm
Pc,Mi-2
Pc,corto
Pc,Rm62
Pc,gpp
Pc,gpp
Pc,Scr
Pc,Kdm2
Pc,Scm
Pc,Scm
Pc,Vha55
Pc,Vha55
Pc,Nsf2
Pc,rdx
Pc,trx
Pc,eff
Pc,eff
Pc,Caf1
Pc,Hsc70-4
Pc,Hsc70-4
Pc,Hsc70-4
Pc,mor
Pc,mor
Pc,osa
Pc,wts
Pc,Hcf
Pc,nej
Pc,skd
Pc,chm
Pc,sls
Pc,lolal
Pc,lolal
Pc,kto
Pc,ph-d
Pc,dom
Pc,bur
Pc,bur
Pc,Adf1
Pc,Abd-B
Pc,Sam-S
Pc,tara
Pc,tara
Pc,Dsp1
Pc,Dsp1
Pc,lawc
Pc,Trl
Pc,Trl
Pc,vtd
Pc,vtd
Pc,vtd
Pc,vtd
Pc,Nipped-B
SAK,mad2
SAK,mad2
SAK,Sas-4
SAK,Sas-4
SAK,ncd
Wnk,Awh
Wnk,Ncc69
Wnk,fray
Wnk,fray
TfAP-2,N
TfAP-2,CG10440
TfAP-2,CG10440
Syn1,Syn2
eg,hkb
eg,lea
CG7442,Ace
DNApol-eta,lok
Rich,Rab6
Rich,Rab6
Rich,CadN
Csp,Hsc70-4
Csp,Syx1A
Hem,dock
Hem,SCAR
Hem,SCAR
Hem,blow
Hem,Rac1
Hem,Ptp61F
Hem,Ptp61F
Hem,Sra-1
Hem,WASp
Hem,WASp
Hem,Abl
Hem,Abl
Hem,Abl
Ten-m,Ten-a
mael,loqs
mael,Klc
mael,Dcr-1
mael,bam
Arf79F,Pvr
Arf79F,Pi3K92E
Chro,JIL-1
Chro,east
slif,hppy
slif,hppy
alpha-Cat,SCAR
alpha-Cat,Arpc1
alpha-Cat,shg
alpha-Cat,Arp3
nAChRalpha4,qvr
aux,Chc
aux,Chc
aux,lqf
aux,Clc
Skp2,CycE
Skp2,dap
hkb,gcm
hkb,klar
lost,rump
srl,Ets97D
MED31,skd
spartin,wit
spartin,futsch
spartin,futsch
tacc,sub
corto,EloC
corto,E(z)
corto,osa
corto,EloB
corto,EloA
corto,Trl
cno,fred
cno,ed
cno,ena
cno,R
cno,bsk
cno,bsk
Hph,mRpL12
Cerk,CDase
Cerk,bwa
Orco,Ir8a
Orco,Or83c
PEK,CycE
PEK,grp
PEK,Gadd34
Snr1,N
Snr1,CG2982
Snr1,RpII215
Snr1,CycD
Snr1,Mer
Snr1,kis
Snr1,ex
Snr1,ex
Snr1,S
Snr1,dpp
Snr1,lid
Snr1,ab
Snr1,CycE
Snr1,Asx
Snr1,Egfr
Snr1,px
Snr1,bs
Snr1,CG13902
Snr1,rho
Snr1,Rpd3
Snr1,Jarid2
Snr1,E(z)
Snr1,brm
Snr1,brm
Snr1,brm
Snr1,aos
Snr1,ash1
Snr1,ash1
Snr1,corto
Snr1,gpp
Snr1,Kdm2
Snr1,JHDM2
Snr1,kibra
Snr1,Hsc70-4
Snr1,mor
Snr1,mor
Snr1,cdc2c
Snr1,PSR
Snr1,gro
Snr1,ci
Snr1,sbb
Snr1,Hdac3
Snr1,cv
Snr1,sens
Snr1,net
Snr1,lawc
ksr,aop
ksr,PTP-ER
ksr,ttk
Itp-r83A,rut
Itp-r83A,Stim
Itp-r83A,Galphaq
Itp-r83A,Dcr-2
Itp-r83A,ple
Itp-r83A,Ilp2
Itp-r83A,Psn
Itp-r83A,Ras85D
Itp-r83A,Pi3K92E
Itp-r83A,bsk
Itp-r83A,Ca-P60A
Nmdar1,rut
kra,shot
asl,Cep97
Rab23,frtz
Rab23,fy
Rab23,Vang
Rab23,mwh
Rab23,in
Rab23,fz
Or83c,CG14741
Gasp,obst-A
godzilla,Syb
Zif,l(2)gl
Zif,aPKC
lab,vvl
lab,pb
lab,Dfd
lab,Scr
lab,Antp
lab,Ubx
lab,abd-A
pb,RasGAP1
pb,RasGAP1
pb,eyg
pb,Scr
pb,H
pb,hh
pb,ey
pb,ey
pb,skd
bcd,CG15479
bcd,tor
bcd,Chi
bcd,W
bcd,hb
bcd,hb
Dfd,N
Dfd,fs(1)h
Dfd,exd
Dfd,exd
Dfd,gcm
Dfd,tsh
Dfd,LanA
Dfd,th
Dfd,MED19
Dfd,rpr
Dfd,pb
Dfd,mor
Dfd,hh
Dfd,cnc
Dfd,cnc
Dfd,nej
Dfd,sls
Scr,Pcl
Scr,tna
Scr,pb
Scr,pb
Scr,hth
Scr,skd
Scr,Gug
Scr,Dsp1
Scr,Dsp1
ftz,eve
ftz,egl
ftz,ftz-f1
ftz,hb
ftz,hth
ftz,how
ftz,how
ftz,eIF-4E
ftz,Gug
Antp,Bap60
Antp,exd
Antp,CycE
Antp,tsh
Antp,Pcl
Antp,tna
Antp,MED19
Antp,Pc
Antp,Pc
Antp,Snr1
Antp,pb
Antp,Scr
Antp,Glut4EF
Antp,hth
Antp,mor
Antp,ss
Antp,Ubx
Antp,Ubx
Antp,osa
Antp,osa
Antp,ash2
Antp,ci
Antp,bip2
Antp,ey
Antp,ey
Antp,spen
Antp,ph-d
Antp,Gug
Antp,Dsp1
alphaTub84B,raps
Mlp84B,tn
Mlp84B,sls
Sas-4,ens
MAGE,mei-41
MAGE,tefu
MAGE,spn-A
sas,Ptp10D
sas,Ptp69D
lap,jing
lap,CG32137
lap,nuf
lap,D1
lap,Atx2
lap,cnc
lap,XNP
lap,jigr1
Syt4,Syx4
Syt4,para
Nlg1,Nrx-1
Nlg1,Nrx-1
Sp7,MP1
Prat,Prat2
puc,sgg
puc,Traf6
puc,hep
puc,hep
puc,hep
puc,wg
puc,scaf
puc,Atg9
puc,Atg12
puc,Atg1
puc,park
puc,foxo
puc,Atg6
puc,pan
puc,bsk
puc,bsk
puc,bsk
puc,bsk
grn,unc-5
grn,zfh1
ato,sc
ato,sc
ato,phl
ato,kis
ato,lilli
ato,ed
ato,ed
ato,smt3
ato,da
ato,amos
ato,amos
ato,ptc
ato,Egfr
ato,rho
ato,rho
ato,dos
ato,h
ato,Ras85D
ato,Dl
ato,hh
ato,hh
ato,hh
ato,ro
ato,ci
Sgt1,polo
Sgt1,raps
Sgt1,raps
Ctr1B,Ctr1A
Ctr1B,ATP7
Ctr1B,MTF-1
Ctr1B,park
Ctr1B,MtnA
Ctr1B,MtnB
Ctr1B,Ctr1C
Poxm,dm
Poxm,CycE
Arl2,msps
Atg13,Atg1
stck,ics
Cenp-C,cal1
Mkk4,hep
Mkk4,hep
p,w
p,ltd
p,or
p,g
hb,Lam
hb,pdm2
hb,Kr
hb,bcd
hb,ftz
hb,nos
hb,bnl
hb,dan
hb,cas
Cks85A,Cks30A
Cks85A,Skp2
Cks85A,Skp2
CG11762,spo
pyd,rst
pyd,N
pyd,N
pyd,ex
pyd,Su(dx)
pyd,tkv
pyd,ena
pyd,shg
pyd,emc
pyd,alpha-Cat
pyd,Dl
osk,Hrb27C
osk,Rbsn-5
osk,aub
osk,aub
osk,aub
osk,aret
osk,aret
osk,esg
osk,vls
osk,SmD3
osk,csul
osk,stau
osk,Lasp
osk,Lasp
osk,nos
osk,nos
osk,nos
RagA-B,hppy
RagA-B,hppy
tgo,sim
neur,HERC2
neur,alpha4GT1
neur,blue
neur,Tom
neur,mib1
neur,mib1
neur,eff
neur,Dl
neur,H
neur,Lrrk
neur,Ser
Rel,sc
Rel,Dredd
Rel,Tl
Rel,spz
Rel,Tollo
Rel,mtd
Rel,mtd
Kdm2,lid
beag,Fas2
pum,th
pum,W
pum,Ras85D
pum,nos
Vps16A,ema
FER,puc
RhoL,shg
rump,aub
rump,nos
rump,nos
Ras85D,dor
Ras85D,Hr4
Ras85D,phl
Ras85D,phl
Ras85D,phl
Ras85D,phl
Ras85D,N
Ras85D,dm
Ras85D,Rala
Ras85D,ovo
Ras85D,Rpt4
Ras85D,Rpt4
Ras85D,Dsor1
Ras85D,Dsor1
Ras85D,Dsor1
Ras85D,Dsor1
Ras85D,dlg1
Ras85D,dlg1
Ras85D,hep
Ras85D,hep
Ras85D,NFAT
Ras85D,tay
Ras85D,tay
Ras85D,baz
Ras85D,Vps4
Ras85D,Taf8
Ras85D,Taf8
Ras85D,os
Ras85D,CrebB
Ras85D,wgn
Ras85D,CoRest
Ras85D,car
Ras85D,dome
Ras85D,Cdc42
Ras85D,pico
Ras85D,S6kII
Ras85D,S6kII
Ras85D,l(2)gl
Ras85D,kis
Ras85D,RpI135
Ras85D,dock
Ras85D,S
Ras85D,S
Ras85D,S
Ras85D,S
Ras85D,S
Ras85D,S
Ras85D,aop
Ras85D,aop
Ras85D,aop
Ras85D,aop
Ras85D,aop
Ras85D,dpp
Ras85D,lilli
Ras85D,lilli
Ras85D,lilli
Ras85D,ed
Ras85D,ed
Ras85D,Traf4
Ras85D,betaggt-I
Ras85D,betaggt-I
Ras85D,CG6907
Ras85D,bchs
Ras85D,chic
Ras85D,eya
Ras85D,eya
Ras85D,smt3
Ras85D,CG11266
Ras85D,wg
Ras85D,wg
Ras85D,santa-maria
Ras85D,santa-maria
Ras85D,Cka
Ras85D,Btk29A
Ras85D,Akap200
Ras85D,grk
Ras85D,grk
Ras85D,Pka-C1
Ras85D,holn1
Ras85D,dgt2
Ras85D,Plzf
Ras85D,Plzf
Ras85D,bun
Ras85D,Sos
Ras85D,Sos
Ras85D,fzy
Ras85D,grp
Ras85D,MESR3
Ras85D,Tep4
Ras85D,spi
Ras85D,step
Ras85D,step
Ras85D,Src42A
Ras85D,Src42A
Ras85D,Src42A
Ras85D,Src42A
Ras85D,Src42A
Ras85D,Bap170
Ras85D,Bap170
Ras85D,Spn42Dc
Ras85D,CG1603
Ras85D,pnut
Ras85D,tsu
Ras85D,egr
Ras85D,egr
Ras85D,Jra
Ras85D,Jra
Ras85D,Sin3A
Ras85D,DJ-1alpha
Ras85D,mam
Ras85D,phyl
Ras85D,phyl
Ras85D,Dg
Ras85D,Rho1
Ras85D,CG6984
Ras85D,cnk
Ras85D,cnk
Ras85D,cnk
Ras85D,cnk
Ras85D,cnk
Ras85D,cnk
Ras85D,cnk
Ras85D,MESR4
Ras85D,POSH
Ras85D,Prp19
Ras85D,Sec6
Ras85D,edl
Ras85D,edl
Ras85D,mago
Ras85D,MESK2
Ras85D,MESK2
Ras85D,Egfr
Ras85D,Egfr
Ras85D,Egfr
Ras85D,PTP-ER
Ras85D,PTP-ER
Ras85D,PTP-ER
Ras85D,twi
Ras85D,yki
Ras85D,slbo
Ras85D,bs
Ras85D,uri
Ras85D,rno
Ras85D,Ppm1
Ras85D,Rabex-5
Ras85D,Rabex-5
Ras85D,Ptp61F
Ras85D,Ptp61F
Ras85D,ago
Ras85D,vn
Ras85D,BHD
Ras85D,BHD
Ras85D,Cbl
Ras85D,klu
Ras85D,klu
Ras85D,CTPsyn
Ras85D,Tak1
Ras85D,Taf4
Ras85D,Taf4
Ras85D,Taf4
Ras85D,aos
Ras85D,W
Ras85D,Mkp3
Ras85D,MESR6
Ras85D,Taf6
Ras85D,Taf6
Ras85D,Taf6
Ras85D,Mi-2
Ras85D,Su(Tpl)
Ras85D,eg
Ras85D,cno
Ras85D,ksr
Ras85D,ksr
Ras85D,ksr
Ras85D,Sec8
Ras85D,Taf1
Ras85D,gfzf
Ras85D,puc
Ras85D,puc
Ras85D,eIF4AIII
Ras85D,Vps16A
Ras85D,Timp
Ras85D,Csk
Ras85D,sds22
Ras85D,osa
Ras85D,osa
Ras85D,htl
Ras85D,14-3-3epsilon
Ras85D,14-3-3epsilon
Ras85D,14-3-3epsilon
Ras85D,gl
Ras85D,CG4936
Ras85D,Stat92E
Ras85D,Pi3K92E
Ras85D,Sec15
Ras85D,Rab11
Ras85D,Rassf
Ras85D,hh
Ras85D,cnc
Ras85D,pnt
Ras85D,pnt
Ras85D,pnt
Ras85D,TfIIA-S
Ras85D,Dis3
Ras85D,Dis3
Ras85D,stg
Ras85D,alph
Ras85D,alph
Ras85D,Tace
Ras85D,dco
Ras85D,chb
Ras85D,Pten
Ras85D,msn
Ras85D,Rgl
Ras85D,spen
Ras85D,spen
Ras85D,spen
Ras85D,imd
Ras85D,scrib
Ras85D,scrib
Ras85D,Lk6
Ras85D,bsk
Ras85D,bsk
Ras85D,bsk
Ras85D,csw
Ras85D,csw
Ras85D,csw
Ras85D,mts
Ras85D,mts
Ras85D,retn
Ras85D,Sec61beta
Ras85D,Tor
Ras85D,Tor
Ras85D,rin
Ras85D,ttk
Ras85D,Src64B
Ras85D,mask
Ras85D,mask
Ras85D,cic
Ras85D,MESK4
Ras85D,ave
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,rl
Ras85D,IntS3
Ras85D,kay
by,hep
by,bsk
AP-1mu,Afti
AP-1mu,spdo
Kap-alpha3,sev
Kap-alpha3,Pen
Kap-alpha3,Kap-alpha1
Kap-alpha3,tutl
Scm,psq
Scm,gpp
hyd,pAbp
hyd,hh
Mical,Sox14
Mical,SelR
Mical,SelR
Mical,Pi3K92E
Mical,slmb
Mical,InR
Mical,Rheb
Timp,Mmp2
Timp,Fmr1
hth,jing
Cap-H2,Cap-D3
Cap-H2,glu
Cap-H2,tef
Fdh,for
Tctp,CycE
Tctp,S6k
Tctp,tefu
